id,text
1.34e+18,"@FarAndWide @erinotoole Or how about Erin O'Toole's hand-picked Health Critic, @MichelleRempel, going even further"
1.34e+18,"Where did the #WarpSpeed money go, if not to the covid pioneers #PfizerBioNTech and #Moderna? Asking for a friend - #GrifterTrump klan"
1.34e+18,How the #PfizerBioNTech Vaccine Works?
1.34e+18,@SkyNews It is a new type of vaccine. That man is so daft it hurts my ears listening to him.  The biggest question
1.34e+18,@theJagmeetSingh 🙋🏼
1.34e+18,FIRST U.S. COVID-19 VACCINATIONS TODAY 🙌🏻 Thank you to everyone stepping up and getting it.  #CovidVaccine
1.34e+18,"#AnitaQuidangen, a personal support worker in #Toronto, became one of the first people in #Canada to receive a"
1.34e+18,"The state is supposed to get 35,100 doses total of the #PfizerBioNTech vaccine this week."
1.34e+18,"#OrangeCounty will get 25K doses of  #PfizerBioNTech Vaccine by Wednesday Dec. 15, @ochealth confirms. "
1.34e+18,#BREAKING - just in from @OHAOregon on #COVID19 #vaccine:
1.34e+18,@asifintoronto @ctvqp 🙋🏼
1.34e+18,KFDM
1.34e+18,Canadian PM Justin Trudeau announced the arrival of the first of the vaccine vials in the country. #BioNTech #PfizerBioNTech
1.34e+18,Privileged be offered the #PfizerBioNTech vaccine. I would encourage everyone to take it up. It
1.34e+18,One of the first vaccines receivers in the US. Momentous for science. Hope has arrived.
1.34e+18,Half way there #COVID19 #CovidVaccine #vaccination #Pfizervaccine #PfizerBioNTech https://t.co/fQOSDAGOWD
1.34e+18,Can
1.34e+18,Toronto to receive Ontario's 1st doses of Pfizer COVID-19 vaccine today
1.34e+18,There is some good news: The first doses of the #PfizerBioNTech vaccine arrived in California last night.
1.34e+18,WHERE IS THE PANDEMIC ? #PCRGATE #Condemic #BillGatesIsNotADoctor #PfizerBioNTech #Moderna #AstraZeneca
1.34e+18,Make vaccine companies liable again... #PfizerBioNTech  #pfizer #johnsonandtoxin #vaccinesarepoison
1.34e+18,The FDA Authorizes Emergency Use Of The Pfizer Vaccine
1.34e+18,@katejulien @TheresaLubowitz Supervising. 
1.34e+18,"#PfizerBioNTech  Just wondering, has every Pfizer employee all the way to the boardroom been vaccinated yet?"
1.34e+18,"Last night, the first #COVID19Vaccines arrived in Canada and as we speak, the first of the vaccines are being admin"
1.34e+18,Happy Cold Chain Day!  The only way to get a vaccine distributed across the county #coldchain #PfizerBioNTech #industrial #cre
1.34e+18,Received my first dose of the #CovidVaccine #PfizerBioNTech today. I feel very privileged &amp; lucky to have this to p
1.34e+18,"With several countries including the US and the UK now approving the use of #PfizerBioNTech's #COVID19Vaccine,"
1.34e+18,The hospital I work at has received the vaccine. Our IV room made the first five doses to be given in the state. I
1.34e+18,"Last night, @AnitaOakville welcomed the first 30K doses of the #PfizerBioNTech #vaccine to 🇨🇦. Although we have a l"
1.34e+18,Historical moment #FirstDose of the #PfizerBioNTech #COVID_19 #Vaccine administered at #UPMC @upmchealthbeat @ Pitt
1.34e+18,#BreakingNews A nurse in New York City on Monday became the first person in the United States to receive the corona
1.34e+18,#UPDATE A nurse in New York City on Monday became the first person in the United States to receive the coronavirus
1.34e+18,#NEW: @methodistdallas has received its first shipment of #PfizerBioNTech's #COVID19 vaccine. Front line healthcare
1.34e+18,It
1.34e+18,"Coronavirus vaccine ships today, expect hospitals to be overwhelmed in nine  months  ...with baby deliveries 😁"
1.34e+18,"Per the CDC, persons with HIV and other immunocompromising conditions may still receive the COVID-19 vaccine unless"
1.34e+18,@realDonaldTrump I'm not graveling at the feet of someone who has killed over 290K USA. I appreciate the #scientist
1.34e+18,If science is same everywhere so should be it's results. Entire world should approve vaccine which one country has
1.34e+18,President Trump says the first #PfizerBioNTech #COVID19 vaccine in the United States has been administered. https://t.co/c4AIbXNRMz
1.34e+18,1st doses of #PfizerBioNTech's #COVID19 vaccine arrive in #Canada🙏🙏🙏
1.34e+18,"#UPS, #FedEx To Transport Initial #PfizerBioNTech #COVID19Vaccine Doses "
1.34e+18,#New Vaccination campaign begins today in Quebec. Residents at Maimonides will be among the first seniors in
1.34e+18,Kudos UPS!
1.34e+18,From Tuna #Fish To #COVID19 #Vaccine - How Container Freezers Used To Ship #Seafood Are Given A New Role -
1.34e+18,"The end is in sight, many of my coworkers and I are getting our first doses of the #PfizerBioNTech #CovidVaccine to"
1.34e+18,Pfizer received emergency use authorization from the Food and Drug Administration for the Covid-19 vaccine develope
1.34e+18,Thank you Thank you Thank you to all of the scientists who worked on the development of the vaccine for COVID-19. T
1.34e+18,WELL DONE USA 🇺🇲👍 #PfizerBioNTech #Pfizervaccine #COVID19 https://t.co/iR68dndGrs
1.34e+18,Sunday evening
1.34e+18,#WATCH: Shipments of initial doses of the COVID-19 vaccines arrived in selected ports of entry in Canada on Sunday
1.34e+18,"#Singapore Approves Pfizer #COVID19 Vaccine, First Shipment Expected by End of #December, Says PM Lee Hsien Loong"
1.34e+18,Here are the lipids used in lipid nanoparticle used the #mRNA  BioNTech/Pfizer #PfizerBioNTech  #CovidVaccine The t
1.34e+18,Canada to begin #PfizerBioNTech #Covid19Vaccine roll-out https://t.co/GfunFFpzF1
1.34e+18,"More approvals to #PfizerBioNTech vaccine: #Singapore approves @pfizer #CovidVaccine, expects first shots by Decemb"
1.34e+18,First Pfizer coronavirus vaccine doses set to arrive at hospitals https://t.co/DyaXNPTR0l #PfizerBioNTech
1.34e+18,"vaccinated. More than 1.1 million new cases have been confirmed in the past week and the death toll is above 306,00"
1.34e+18,US HEALTH CARE WORKERS &amp; MOST VULNERABLE TO RECEIVE THE PFIZER-BIONTECH SHOTS
1.34e+18,@sammwittings Oh great - thought you wouldnt be able to see her before Xmas - btw I heard on the radio that Shropsh
1.34e+18,#PfizerBioNTech's #COVID19 vaccines are making their way to distributions sites nationwide. @FedEx says some of the
1.34e+18,US is all set to start its #COVID19  #vaccination  drive with the doses of #PfizerBioNTech  #vaccine that is ready
1.34e+18,#Singapore became on Monday the first Asian country to approve #PfizerBioNTech's #CoronavirusVaccine and said it ex
1.34e+18,"Singapore approves Pfizer vaccine , becomes first south East Asian country to approve the vaccine. Doses will be gi"
1.34e+18,#PfizerBioNTech COVID-19 vaccine being distributed; #ElectoralCollege formally casts votes today; #DetroitLions los
1.34e+18,#BillGates  caught on video admitting #CovidVaccine  will CHANGE our #DNA  FOREVER. https://t.co/PPzAGwLYPu via
1.34e+18,#Singapore approves #PfizerBioNTech #VirusVaccine https://t.co/9vjLXMrGyw 
1.34e+18,Excited about tomorrow 
1.34e+18,@LUDOVICOTODINI @Taxistalobbyst   caught on video admitting #Covidvaccine will CHANGE our #DNA FOREVER.
1.34e+18,Who should not get vaccine ...yet https://t.co/kuIwEyz7yV via @YouTube #vaccine #MaskUp  #Pfizer #Pfizervaccine #PfizerBioNTech
1.34e+18,#Canada to begin #PfizerBioNTech #Covid19Vaccine roll-out https://t.co/sZkFQLldPN 
1.34e+18,#Singapore approves the #PfizerBioNTech #COVID-19 #vaccine 
1.34e+18,@GOPChairwoman @GOP @realDonaldTrump #PfizerBioNTech 
1.34e+18,U.S. expects to have immunized 100 million against #COVID-19 by end of March -Slaoui https://t.co/810e0oDL2I
1.34e+18,Singapore's plan to tackle #COVID19
1.34e+18,"Singapore approves @pfizer @BioNTech_Group  vaccine for local use. Vaccine safe to use on people aged 16 and above,"
1.34e+18,"Phase 3 begins Dec 28, #PfizerBioNTech vaccine first to arrive in #singapore by end Dec, and shots to be free for a"
1.34e+18,@realDonaldTrump World🌏 
1.34e+18,Does this vaccine mean that I
1.34e+18,US began shipments of #Covid19 #PfizerBioNTech #vaccine Sunday following final CDC approval. While #pandemic is far
1.34e+18,True question for #scientists:
1.34e+18,The first few million #PfizerBioNtech #vaccines have arrived in the US after a last-minute #emergencyauthorization
1.34e+18,#DonaldTrump and #MikePence to be offered the recently authorized #PfizerBioNTech vaccine
1.34e+18,#Pfizervaccine is unlikely to be available in India for mass distribution. Read to find out why.
1.34e+18,The #US is set to begin its coronavirus vaccination drive from today with doses of #PfizerBioNTech
1.34e+18,"Politico.  December 13, 2020.  FDA's Hahn: Covid-19 vaccine authorization based in 'science and data'"
1.34e+18,"Politico.  December 13, 2020.  FDA's Hahn: Covid-19 vaccine authorization based in 'science and data'"
1.34e+18,I
1.34e+18,#USA to start #vaccination from today! It has according to latest figures maximum #coronavirus cases (over 16.7 mil
1.34e+18,#COVID #PfizerBioNTech #vaccine  #Pennsylvania
1.34e+18,Vaccines save lives 💯 Hopefully HCW can assuage public fear and anxiety regarding this vaccine 💉 so we can finally
1.34e+18,1st doses of #PfizerBioNTech's #COVID19 #vaccine arrive in #Canada https://t.co/PYSZah8tDk
1.34e+18,Are politicians #EssentialWorkers? 🤔🤦
1.34e+18,"The first batch of doses of Pfizer-BioNTech’s COVID-19 vaccine have arrived in Canada,” PM Trudeau said on Twitter… https://t.co/fdV5qSRLLr"
1.34e+18,#USA to start #vaccination from today! It has according to latest figures maximum #coronavirus cases (over 16.7 mil
1.34e+18,Good news!  #PfizerBioNTech vaccines arrived ... other vaccines like #Moderna and #AstraZeneca are also coming. https://t.co/e8wxDoutiw
1.34e+18,My money is on a Mr. Mark Twain getting the one of the first doses of the #PfizerBioNTech #vaccination in the United States @CalNBC
1.34e+18,#APT29 aka #CozyBear hacker group suspected of hacking #PfizerBioNTech #IP and now federal agencies like U.S. Treas
1.34e+18,Pfizer-BioNTech
1.34e+18,There it comes . #Covid_19 #PfizerBioNTech https://t.co/RO2IsNOOOU
1.34e+18,@realDonaldTrump Might as well call it 100 years ahead #LiarInChief you had nothing to do with the #PfizerCovidVaccine #PfizerBioNTech
1.34e+18,@pash22 @CDCgov @caseymross Interesting approach 🇺🇲 
1.34e+18,"Pfizer-BioNTech COVID-19 Vaccine: Donald Trump, Mike Pence &amp; Top US Officials to be Offered Early Access to Newly A"
1.34e+18,#PfizerBioNTech #Vaccine hacked a few days ago
1.34e+18,Be safe and thank you @FedEx !!!👍 #vaccine #FedEx #PfizerBioNTech #Pfizer https://t.co/WkmafScUlJ
1.34e+18,@RainArtChik And we're nowhere near 2030.
1.34e+18,#HarHarMahadev 🙏
1.34e+18,Welcoming the 1st #COVID19vaccines to 🇨🇦 tonight!
1.34e+18,More information about #Pfizer vaccine and severe allergies:
1.34e+18,"Welp, thanks already aren't going quite as planned with the #PfizerBioNTech #CovidVaccine distribution.  These aren"
1.34e+18,MT @murray_nyc Five years ahead of schedule? It
1.34e+18,This is excellent news!  Our great President Trump and his administration have pushed to get this vaccine ready qui
1.34e+18,Good heavens - you are too stupid to reason with even on a slow day. get a dummy for #pademics and slither away alr
1.34e+18,Before you say you WILL OR WON
1.34e+18,It
1.34e+18,What a process!! They definitely thought of everything publicity wise... #Pfizervaccine #PfizerBioNTech https://t.co/2b84raNcgE
1.34e+18,Turkey
1.34e+18,In case anyone is interested here is a link to the #PfizerBioNTech #COVID19Vaccine patient information that is on t
1.34e+18,@tameemmurtuza Yes here is the link to the patient education information from #PfizerBioNTech that should be given
1.34e+18,#UnitedStates
1.34e+18,Infections #worldwide
1.34e+18,#PfizerBioNTech COVID-vaccine given the green light in the US
1.34e+18,What kind of #America will he leave behind?
1.34e+18,@chesleydohl @Audie_Murphy45 @cspan So why is Trump claiming the #PfizerBioNTech vaccine as one of his administrati
1.34e+18,Here we go! Grateful to be among the first group of vaccinated healthcare workers in Tampa/FL against #COVID19 🙏🏽
1.34e+18,#CDC #ACIP have released their Interim Guidance for use of #PfizerBioNTech COVID Vaccine https://t.co/DVAO10C7LF
1.34e+18,"Dr. Kathy Lofy says the vaccine will be a new tool in our tool box, and says she"
1.34e+18,The Advisory Committee on Immunization Practices
1.34e+18,Turkey
1.34e+18,The #ACIP recommended the use of #PfizerBioNTech #COVID19 vaccine in persons 16 years of age and older under the
1.34e+18,@CDCDirector Redfield has just signed off on this recommendation. #CDC Panel Recommends #Pfizer's #COVID19 #Vaccine
1.34e+18,Boxes containing the first shipment of the Pfizer-BioNTech #COVID19 #vaccine are prepared to be sent at the #Pfizer
1.34e+18,What a great day for our Country &amp; the World! @realDonaldTrump is ONE DAY CLOSER to leaving @WhiteHouse. The first
1.34e+18,Answers to questions about #COVID #vaccination  https://t.co/5PQhg3tBja #vaccine #Covid_19 #healthcare #health
1.34e+18,Just watched @CapehartJ new #thesundayshow. @Maria_Hinojosa correctly stated that there were two deaths among the o
1.34e+18,#PfizerBioNTech #PfizerCovidVaccine #VaccineRollout
1.34e+18,"Have to agree: UK, US vaccinate with technology pioneered in 2 German, one US-Biotechs; US celebrates distribution"
1.34e+18,@realDonaldTrump @Varneyco Pfizer was not funded by Operation Warp Speed and you would never have supported the Mus
1.34e+18,"Had my Covid-19 Vaccination, doing my bit helping to save the human race."
1.34e+18,"@jeremysale @nytimes Apparently the trucks are escorted by US Marshals... So 🤞🤞 they will stay safe, no hijacking o"
1.34e+18,Airborne - heading to Memphis 👇
1.34e+18,"The newly approved #Vaccine for the #CCPVirus will start being distributed to US states on Dec. 14, according to of"
1.34e+18,@yvettedoc50 @TeamGP @NHSEngland @NikkiKF @pulsetoday Think we are going to be seeing a lot of this happening
1.34e+18,@tedcruz We know Trumpkins like you are not as informed- so here goes:
1.34e+18,#Canadian firm Acuitas - at heart of #PfizerBioNTech #vaccine - great story - @ubcprez #UBC - we helped early on wi
1.34e+18,The first trucks loaded with Pfizer
1.34e+18,"@JoeBiden @KamalaHarris Thanks to you both for bringing in fresh air, positivity and God"
1.34e+18,#Pfizer #PfizerCovidVaccine #vaccine #vaccination #BioNTech #PfizerBioNTech #Moderna 
1.34e+18,"@AFP #UPDATE The #PfizerBioNTech #Covid-19 vaccine began leaving the company's #Michigan factory on Sunday, set to"
1.34e+18,(ENG) NHS workers: 'Vaccine is a game changer' | #hopenews
1.34e+18,"#UPDATE The #PfizerBioNTech Covid-19 vaccine began leaving the company's Michigan factory on Sunday, set to be inje"
1.34e+18,@JoJoFromJerz Someone should remind @tedcruz that the #PfizerBioNTech vaccine was not developed in the US.  #scienceovermorons
1.34e+18,Rival US companies #UPS and #FedEx are working side-by-side to ship the #PfizerBioNTech #Covid-19 #vaccine.
1.34e+18,#PFIZERBIONTECH #USA 
1.34e+18,Kuwait authorizes emergency use of Pfizer-BioNTech COVID-19 vaccine
1.34e+18,Approval for #Pfizer / #Biontech vaccine from FDA Advisory Board.
1.34e+18,Happy and relieved to have the #PfizerBioNTech #Covidvaccine 
1.34e+18,#vaccine #PfizerBioNTech #Oxford_AstraZeneca #BharatBiotech #SputnikV Most of the companies have submitted applicat
1.34e+18,The US Food and Drug Administration (FDA) issued yesterday the first emergency use authorization of the Pfizer-BioN
1.34e+18,COVID 19 Vaccination. Latest Update.
1.34e+18,"After 10 months and 3 weeks since its first case, finally some relief for Uncle Sam. Vaccination starts Monday.👏"
1.34e+18,The first trucks filled with the #Pfizer #vaccine are about to hit the road!! #PfizerBioNTech 💉
1.34e+18,US says COVID-19 vaccine to start arriving in states Monday https://t.co/xA9zXmqpmy via @10TampaBay  #Pfizervaccine
1.34e+18,Interesting Watch: @CNN's @NewDay live coverage of the loading of #PfizerBioNTech's vaccine at the Pfizer plant at
1.34e+18,The #vaccines are a-comin'!! 💉🙏🥰
1.34e+18,"Global coronavirus death toll reaches 1,611,637 #CoronavirusPandemic @WHO @Worldometers #PfizerBioNTech"
1.34e+18,Two people in the United Kingdom have experienced an allergic reaction to the Pfizer/BioNTech COVID-19 vaccine.
1.34e+18,@PeteDeveson @anna_down @rcgp @MartinRCGP @SkyNews 💉GPs are struggling to provide core services &amp; many have made di
1.34e+18,"The first shipments of the #PfizerBioNTech #Covid_19 vaccine will begin arriving in #US states from Monday, an offi"
1.34e+18,"With numbers likely to get worse over the holidays, the #vaccine is offering a bright spot in the fight against the"
1.34e+18,@pfizer Keep up the good work #PfizerBioNTech #Pfizervaccine #PfizerBioNTech #PfizerBiotech #COVID19 #vaccine #coronavirus
1.34e+18,Health #Canada has warned people allergic to any of the ingredients in the #PfizerBioNTech #COVID19 vaccine not to
1.34e+18,I pucking do not intend to get vaccinated. Wht if my employer force to get vaccinated? Like they did for Arogya Set
1.34e+18,Ok I might be late to discovering this but... both #PfizerBioNTech  and #Moderna #COVID19 vaccines are being led by
1.34e+18,"Just hours after being authorized by the #FDA, doses of #PfizerBioNTech #coronavirus #vaccine are being packaged an"
1.34e+18,🔴 Some #FDA Advisors Tapped to Review #Coronavirus #Vaccines Received Payments from Vaccine Companies
1.34e+18,"@Breaking911 What a Dumass!!!!,  he did NOT have anything to do with the #PfizerBioNTech vaccine. "
1.34e+18,#US States To Start Getting #PfizerBioNTech Covid-19 Vaccine From Monday ##kalingatv #Pfizervaccine 
1.34e+18,Corona: Pfizer vaccine approved for use in US on emergency basis
1.34e+18,"UPS, FedEx Collaborate to Ship Pfizer-BioNTech COVID-19 Vaccines in US"
1.34e+18,US President Donald Trump announced that the vaccine will be free for all Americans and has thanked all the scienti
1.34e+18,#AstraZeneca to buy pharmaceutical firm #Alexion for $39 billion
1.34e+18,Health #Canada has warned people allergic to any of the ingredients in the #PfizerBioNTech #COVID19 vaccine not to
1.34e+18,#AstraZeneca to buy pharmaceutical firm #Alexion for $39 billion
1.34e+18,@PMJones14 #PfizerBioNTech  created the vaccine not Trump.  he recommended bleach injections. 😷
1.34e+18,The US public will start receiving the Pfizer/BioNTech coronavirus vaccine from Monday after it was authorised for
1.34e+18,The US public will start receiving the Pfizer/BioNTech coronavirus vaccine from Monday after it was authorised for
1.34e+18,Pfizer-BioNTech COVID-19 Vaccine Side Effects: Canada Warns Allergic People Against Pfizer-BioNTech Coronavirus Vac
1.34e+18,@4everNeverTrump @tedcruz You were hatched in Canada 
1.34e+18,@tedcruz You were hatched in Canada 
1.34e+18,@tedcruz @stoolpresidente You were hatched in Canada 
1.34e+18,Doses of the #PfizerBioNTech vaccine will begin leaving the company's factory in #Kalamazoo #Michigan on Sunday.
1.34e+18,COVID-19 Vaccine Update: Initial Doses of Pfizer Coronavirus Vaccine in US to Begin from Tomorrow
1.34e+18,Salute to the #HealthcareHeroes who are risking their life everyday taking care of #COVID patients! May God give th
1.34e+18,"@WSJ Proving the unproven, with time constraints is always hardest."
1.34e+18,The Canadian guidance for people with allergies to the #PfizerBioNTech #CovidVaccine - since this is still an evolv
1.34e+18,#Pfizervaccine #PfizerBioNTech
1.34e+18,You're wrong: MALAYSIA has already pre-ordered #PfizerBioNTech #COVID19Vaccine (expected in 2021) plus is part of
1.34e+18,I love high quality infographics for getting across multiple ideas quickly 
1.34e+18,#PfizerBioNTech #COVID19vaccines are prepped for shipment - The Wall Street Journal https://t.co/6owcqRzvC0
1.34e+18,What we can learn from the victory over #Polio
1.34e+18,Big Pharma has the best interests of those that hold their stock &amp; not patients. #Pfizervaccine #PfizerBioNTech https://t.co/V2PrGIPLyG
1.34e+18,TV ad in 2030: 
1.34e+18,"@Sflecce Thank you @CPHO_Canada @PattyHajdu @JustinTrudeau @AnitaOakville for getting this approved, being prepared"
1.34e+18,https://t.co/GI3yG92w2J. #Canada ordered enough of the #PfizerBioNTech #vaccine for all of its people- we were too
1.34e+18,#Pfizervaccine #PfizerBioNTech WHAT'S IN THIS #vaccine? Why #Pfizer is NOT 100% transparent about it? 
1.34e+18,"The entire ingredients of the #Pfizervaccine: See, it"
1.34e+18,So I can stop wearing a 😷 weeks after my 2nd #PfizerBioNTech vaccine then?
1.34e+18,@pash22 @caseymross 🇬🇧 guidance very clear now:
1.34e+18,The reason you don
1.34e+18,Say NO to Covid-19 vaccines!
1.34e+18,@Janey94803852 @Maureenprsb Still seems unclear if we can reconstitute #PfizerBioNTech vials on site @ nursing home
1.34e+18,🙏🏼🙏🏼🙏🏼🙏🏼 #FDA #PfizerBioNTech #OperationWarpSpeed #CoronaVaccine #grateful #COVID #Corona FDA approves Pfizer
1.34e+18,US #COVID19 #Vaccine Shipments to 'Start Rolling' Sunday https://t.co/BstMMqHtCe via @medscape 
1.34e+18,"#FDA Gives Guidance on Allergy, Pregnancy Concerns for #COVID Vaccine https://t.co/ULl8esqkgP via @medscape"
1.34e+18,The announcement comes after federal authorities granted the Pfizer vaccine emergency use authorization.
1.34e+18,#UnitedStates : The Federal Aviation Administration (FAA) said Saturday it had approved the use of the
1.34e+18,https://t.co/Z3j0NbDUbq
1.34e+18,New PODCAST: Vaccinating Our Way Out of the Pandemic
1.34e+18,Eric Shawn: The vaccine is here...in record time! https://t.co/Vu2awzLgjM thanks @EricShawnTV @ArthelNeville for al
1.34e+18,"@tedcruz Facts, Senator! It would be nice to respect your faith and tell the truth. #PfizerBioNTech vaccine was dev"
1.34e+18,#UnitedStates : The Federal Aviation Administration (FAA) said Saturday it had approved the use of the
