purpose,installment,dti
debt_consolidation,392.36,15.74
educational,156.11,9.55
debt_consolidation,155.52,7.51
credit_card,485.99,11.95
all_other,116.64,7.88
debt_consolidation,223.34,18.68
credit_card,149.87,10.26
educational,211.17,1.83
debt_consolidation,186.45,6.11
debt_consolidation,790.86,0.82
small_business,795.11,3.83
credit_card,126.65,18.71
credit_card,294.27,17.17
debt_consolidation,404.62,9.23
debt_consolidation,397.77,20.48
debt_consolidation,178.68,1.2
educational,29.16,16.7
small_business,417.62,6.48
credit_card,130.18,17.81
all_other,98.53,22.79
all_other,15.69,4.27
credit_card,523.14,10.7
all_other,557.23,0.12
all_other,315.3,14.6
debt_consolidation,527.93,12.16
major_purchase,93.23,11.18
debt_consolidation,202.94,13.53
debt_consolidation,165.74,7.02
all_other,158.76,15.3
debt_consolidation,485.99,11.88
all_other,322.49,10.28
debt_consolidation,189.97,19.45
debt_consolidation,376.24,23.96
debt_consolidation,599.33,18.3
debt_consolidation,132.35,23.2
small_business,828.69,9.74
credit_card,604.88,17.56
debt_consolidation,538.23,11.51
credit_card,172.55,16.09
small_business,604.88,4.67
all_other,290.24,3.38
major_purchase,530.36,15.1
all_other,158.31,6.15
debt_consolidation,390.54,19.84
credit_card,301.04,4.98
small_business,659.91,17.81
small_business,217.52,1.65
home_improvement,388.79,5.58
major_purchase,158.31,0.38
debt_consolidation,319.64,19.28
credit_card,103.68,9.7
home_improvement,154.08,12.94
debt_consolidation,650.9,11.96
all_other,81.74,24.08
all_other,238.54,10.37
debt_consolidation,335.98,7.51
all_other,93.23,19.19
all_other,95.87,2.69
debt_consolidation,95.94,14.16
debt_consolidation,554.37,19.22
small_business,859.07,20.79
major_purchase,472.68,7.96
credit_card,586.9,10.34
major_purchase,224.69,21.23
debt_consolidation,483.81,8.47
debt_consolidation,399.55,14.5
debt_consolidation,232.04,17.02
small_business,802.47,17.06
debt_consolidation,304.9,18.96
small_business,836.23,7.99
all_other,124.89,6
all_other,113.4,17.65
credit_card,842.47,12.81
debt_consolidation,817.41,22.13
debt_consolidation,421.65,20.82
educational,575.17,9.96
all_other,405.03,18.25
debt_consolidation,167.99,18.65
debt_consolidation,677.22,3.77
all_other,131.99,9.14
debt_consolidation,281.2,0
debt_consolidation,802.47,9.78
credit_card,505.16,10.86
home_improvement,180.23,2.32
small_business,798.84,1.57
all_other,319.54,19.46
debt_consolidation,32.1,18
debt_consolidation,192.6,2.87
home_improvement,764.64,3.66
all_other,30.94,0.65
credit_card,381.66,6.64
debt_consolidation,301.04,4.64
credit_card,687.25,16.05
debt_consolidation,320.99,3.6
small_business,862.97,5.79
credit_card,250.95,10.44
all_other,87.01,3.96
all_other,62.45,2.4
home_improvement,851.41,19.78
credit_card,244.09,12.1
debt_consolidation,687.25,15.7
debt_consolidation,656.86,14.04
all_other,537.57,12.43
debt_consolidation,320.99,8.17
debt_consolidation,386.99,8.17
small_business,315.12,2.28
major_purchase,292.91,5.56
debt_consolidation,125.48,10.33
debt_consolidation,383.45,7.47
debt_consolidation,523.78,17.4
all_other,199.78,6.81
debt_consolidation,575.17,16.95
debt_consolidation,95.42,6.72
debt_consolidation,477.07,6.88
all_other,345.06,14.07
all_other,155.19,23.03
home_improvement,644.97,13.28
all_other,92.8,1.19
debt_consolidation,306.36,21.93
debt_consolidation,143.53,24.71
credit_card,288.89,10.36
all_other,87.88,13.46
all_other,381.66,4.28
debt_consolidation,197.06,0
credit_card,83.92,16.68
small_business,481.48,4.05
debt_consolidation,253.16,6.14
all_other,77.69,2.45
all_other,97,8.71
all_other,259.87,11.28
home_improvement,124.3,5.82
debt_consolidation,67.68,22
debt_consolidation,406.07,7.16
credit_card,241.41,2.69
small_business,170.72,20.72
educational,293.85,0
credit_card,318.09,17.04
major_purchase,63.79,18.65
all_other,217.52,1.72
credit_card,667.74,13.42
debt_consolidation,133.55,8.66
debt_consolidation,421.14,17.01
all_other,339.94,1.21
debt_consolidation,365.51,14.26
debt_consolidation,313.69,9.95
credit_card,876.83,18.08
debt_consolidation,316.99,21.88
small_business,701.12,0.85
debt_consolidation,485,13.73
debt_consolidation,133.55,9.48
credit_card,362.39,8.16
all_other,108.27,0
all_other,240.39,4.58
all_other,62.15,9.99
all_other,66.18,2.36
debt_consolidation,327.82,19.32
all_other,69.14,7.67
home_improvement,313.3,14.06
debt_consolidation,329.34,14.03
all_other,292.97,15.53
all_other,315.12,14.03
debt_consolidation,225.86,17
major_purchase,63.03,18.96
debt_consolidation,536.57,10.13
small_business,126.29,12.5
credit_card,192.23,16.87
all_other,97,0
debt_consolidation,318.93,5.93
credit_card,228.45,7.76
all_other,72.78,17.2
all_other,16.47,3.69
all_other,124.89,1.33
all_other,262.26,5.12
credit_card,236.34,6.06
debt_consolidation,265.87,16.06
debt_consolidation,101.47,2.73
debt_consolidation,218.55,10.37
debt_consolidation,38.8,19.76
credit_card,247,14.65
debt_consolidation,673.79,18.98
all_other,79.96,14.84
debt_consolidation,498.51,17.95
debt_consolidation,692.14,7.11
small_business,800.95,2.14
debt_consolidation,289.69,4.83
all_other,264.71,13.1
debt_consolidation,117.38,13.1
all_other,293.72,7.93
major_purchase,563.4,20.06
credit_card,318.93,0.33
all_other,230.68,15.84
debt_consolidation,730.04,21.84
all_other,312.22,2.89
major_purchase,250.95,9.58
debt_consolidation,514.49,19.05
small_business,16.25,14.17
debt_consolidation,372.22,21.33
debt_consolidation,320.38,7.59
small_business,504.13,23.04
debt_consolidation,413.51,11.9
all_other,485,19.86
credit_card,307.66,20.09
all_other,130.54,0.38
debt_consolidation,370.59,17.94
debt_consolidation,539.03,14.82
major_purchase,312.22,0
all_other,70.17,19.15
debt_consolidation,440.57,12.58
all_other,175.42,16.74
all_other,194.91,5.06
debt_consolidation,165.41,0
debt_consolidation,406.07,4.67
debt_consolidation,82.71,19.29
debt_consolidation,189.08,12.5
all_other,57.23,11.59
small_business,338.39,6.31
debt_consolidation,498.51,15.82
credit_card,737.78,13.04
credit_card,306.18,13.12
debt_consolidation,592.7,16.49
all_other,611.1,9.79
debt_consolidation,461.35,9.96
debt_consolidation,841.76,15.38
small_business,244.76,1.78
debt_consolidation,452.67,16.54
debt_consolidation,649.68,16.2
credit_card,226.89,15.11
debt_consolidation,498.51,14.32
debt_consolidation,880.78,24.84
debt_consolidation,658.67,10.14
all_other,231.57,15.46
all_other,258.67,8.78
debt_consolidation,157.36,11.37
debt_consolidation,300.48,21.8
home_improvement,658.67,0.63
debt_consolidation,129.34,7.07
all_other,170.72,22.57
credit_card,101.52,24.79
small_business,365.51,7.56
small_business,337.19,10.1
debt_consolidation,382.72,10.14
debt_consolidation,403.36,7.26
credit_card,305.97,9.2
debt_consolidation,676.78,20.42
credit_card,767.89,16.07
debt_consolidation,491.73,4.8
debt_consolidation,496.22,2.42
credit_card,228.45,16.51
debt_consolidation,819.54,17.11
credit_card,261.08,16.75
credit_card,81.59,16.37
debt_consolidation,278.22,18.58
debt_consolidation,312.22,5.24
all_other,59.28,21.01
educational,376.43,8.88
small_business,804.69,8.98
home_improvement,812.09,1.88
home_improvement,130.54,15.5
debt_consolidation,329.34,15.93
debt_consolidation,99.25,12.85
debt_consolidation,381.58,19.52
debt_consolidation,310.03,8.22
debt_consolidation,78.78,10.61
debt_consolidation,608.72,11.29
debt_consolidation,386.25,15.74
small_business,669.76,2.7
debt_consolidation,478.4,12.28
all_other,567.22,5.25
credit_card,346.07,23.89
debt_consolidation,685.99,2.1
all_other,255.15,1.03
home_improvement,498.51,17.08
home_improvement,124.89,9.25
all_other,217.52,10.04
all_other,241.41,0.58
debt_consolidation,406.07,24.22
debt_consolidation,467.45,15.28
credit_card,386.25,16.75
debt_consolidation,257.5,21.33
credit_card,62.74,3.68
major_purchase,223.26,13.28
debt_consolidation,320.38,9.6
debt_consolidation,318.93,4.88
debt_consolidation,527.52,19.71
credit_card,327.83,12.86
all_other,640.76,0.22
debt_consolidation,196.84,15.38
debt_consolidation,42.23,18.15
debt_consolidation,136,11.93
debt_consolidation,182.77,11.25
debt_consolidation,194.91,13.42
all_other,94.46,1.54
debt_consolidation,450.67,19.71
debt_consolidation,387.32,11.02
debt_consolidation,47.45,9.37
credit_card,201.5,13.99
debt_consolidation,405.72,15.12
debt_consolidation,336.98,6.61
all_other,333.7,6.02
debt_consolidation,655,7.16
all_other,101.21,14.38
small_business,533.77,4.68
all_other,16.31,3.04
small_business,807.62,8.53
debt_consolidation,347.5,9.05
all_other,194.71,17.47
all_other,188.02,14.08
debt_consolidation,237.95,12.57
debt_consolidation,148.61,5.91
credit_card,189.77,11.2
debt_consolidation,84,14.57
all_other,192.93,4.84
all_other,431.6,3.92
debt_consolidation,339.06,4.74
debt_consolidation,225.09,17.78
debt_consolidation,243.38,5.57
debt_consolidation,24.84,7.65
credit_card,90.88,6.32
debt_consolidation,589.2,18.52
home_improvement,96.03,1.49
all_other,48.91,18.14
debt_consolidation,200.12,14.77
credit_card,199.61,0.83
credit_card,310.24,3.19
all_other,80.39,22.25
credit_card,160.57,7.08
debt_consolidation,343,15.82
debt_consolidation,272.09,17.33
credit_card,307.67,7.37
debt_consolidation,200.17,18.35
all_other,260.82,17.66
all_other,94.01,12.05
educational,46.63,7.74
debt_consolidation,189.77,10.8
debt_consolidation,627.02,1.95
debt_consolidation,330.53,8.4
all_other,584.12,0.86
debt_consolidation,199.2,6
all_other,187.14,2.54
credit_card,193.83,16.17
small_business,807.62,3.84
small_business,644.71,9.14
debt_consolidation,195.61,11.12
debt_consolidation,163.77,5.73
all_other,856.63,22.45
debt_consolidation,327.53,13.4
small_business,313.37,12
small_business,128.62,2.7
debt_consolidation,167.54,4.56
debt_consolidation,501.73,15.14
home_improvement,544.17,0.6
debt_consolidation,188.02,9.82
debt_consolidation,90.07,14.45
debt_consolidation,93.14,12.7
debt_consolidation,348.87,13.16
small_business,155.95,0.43
educational,347.27,11.89
small_business,493.5,2.32
all_other,80.39,0.5
small_business,507.36,23.29
debt_consolidation,608.58,22.4
debt_consolidation,646.1,10.06
credit_card,25.02,24
debt_consolidation,195.61,20.11
all_other,507.15,3.29
debt_consolidation,548.25,11.13
all_other,142.33,0
home_improvement,495.79,5.17
all_other,327.53,9.17
all_other,98.26,16.92
credit_card,587.82,20.12
debt_consolidation,131.97,15.51
home_improvement,330.53,10.74
debt_consolidation,254.65,4.62
credit_card,236.88,24.31
small_business,313.37,12.14
credit_card,826.31,18.88
debt_consolidation,156.69,10.71
all_other,318.72,20.63
debt_consolidation,171.18,20.69
debt_consolidation,373.21,7.8
small_business,820.91,5.76
credit_card,815.04,11.86
all_other,358.62,0.4
debt_consolidation,213.72,20.15
debt_consolidation,99.6,14.8
debt_consolidation,409.73,10.51
debt_consolidation,341.15,24.72
debt_consolidation,535.02,15.81
credit_card,160.78,1.46
home_improvement,129.22,16.26
debt_consolidation,335.07,12.02
debt_consolidation,294.78,8.29
credit_card,233.65,12.63
debt_consolidation,504.84,6.08
debt_consolidation,486.76,11.37
debt_consolidation,398.4,22.67
debt_consolidation,671.44,15.72
small_business,670.13,4.04
debt_consolidation,521.63,19.23
all_other,803.87,4.95
home_improvement,98.26,11.8
credit_card,135.61,21.9
debt_consolidation,676.2,20.73
debt_consolidation,321.55,3.22
debt_consolidation,652.04,13.11
debt_consolidation,771.72,0.22
debt_consolidation,316.28,13.16
debt_consolidation,516.32,15.6
debt_consolidation,292.06,14.45
debt_consolidation,330.53,23.96
small_business,339.6,3.35
debt_consolidation,93.57,0.91
debt_consolidation,192.93,5.43
credit_card,320.1,11.69
debt_consolidation,394.8,8.72
home_improvement,329,14.8
debt_consolidation,311.16,11.3
debt_consolidation,94.01,2.6
debt_consolidation,341.15,13.19
small_business,192.06,13.16
major_purchase,182.61,0.72
debt_consolidation,710.18,20.09
debt_consolidation,508.59,14.58
credit_card,456.94,11.18
all_other,313.37,0
home_improvement,28.47,0.32
debt_consolidation,330.53,15.44
major_purchase,32.31,20.53
debt_consolidation,481.4,8.6
debt_consolidation,263.2,9.8
debt_consolidation,163.01,6.95
all_other,675.25,1.79
home_improvement,482.32,5.77
debt_consolidation,493.5,8.61
all_other,180.07,7.47
debt_consolidation,162.26,15.72
home_improvement,316.28,6.4
debt_consolidation,375.26,20.93
debt_consolidation,482.32,15.1
debt_consolidation,663.47,9.86
debt_consolidation,173.65,21.32
debt_consolidation,221.4,2.74
debt_consolidation,360.29,6.82
all_other,330.53,8.56
major_purchase,321.55,2.7
debt_consolidation,420.47,18.55
all_other,224.07,10.86
debt_consolidation,548.25,3.4
all_other,329,5.37
debt_consolidation,490.29,21.94
all_other,225.63,5.54
all_other,257.24,18.72
debt_consolidation,95.36,6.62
debt_consolidation,274.13,20.71
home_improvement,156.69,3.75
debt_consolidation,351.92,14.9
debt_consolidation,194.71,7.5
home_improvement,258.44,0.81
major_purchase,879.92,6.4
credit_card,150.45,11.13
home_improvement,640.2,4.19
debt_consolidation,168.28,19.67
debt_consolidation,581.49,11.01
home_improvement,640.2,0.81
all_other,694.59,10.25
debt_consolidation,807.74,15.08
all_other,514.48,1.61
debt_consolidation,411.19,18.16
debt_consolidation,389.41,17
debt_consolidation,264.39,24.68
all_other,482.32,11.35
debt_consolidation,645.24,1.67
debt_consolidation,293.51,20.04
all_other,316.28,8.94
debt_consolidation,361.9,9.39
debt_consolidation,281.84,0.13
debt_consolidation,684.64,2.9
debt_consolidation,338.1,18.2
debt_consolidation,278.88,20.96
home_improvement,486.76,8.92
home_improvement,298.8,19.37
all_other,330.53,13.33
debt_consolidation,234.55,9.63
credit_card,241.16,12.32
major_purchase,224.07,5.99
debt_consolidation,396.63,10.05
debt_consolidation,507.15,10.03
debt_consolidation,288.66,17.56
debt_consolidation,409.3,0.83
debt_consolidation,222.97,19.93
all_other,365.2,15.83
debt_consolidation,603.12,14.02
credit_card,852.87,17.28
debt_consolidation,320.1,7.44
home_improvement,807.62,10.42
debt_consolidation,326.02,10.37
debt_consolidation,336.56,6.74
credit_card,396.63,12.94
debt_consolidation,301.56,14.68
debt_consolidation,491.3,9.52
debt_consolidation,416.19,21.96
credit_card,636.39,24.03
home_improvement,406.91,9.31
all_other,62.1,0.86
debt_consolidation,201.04,3.89
debt_consolidation,491.3,15.5
debt_consolidation,327.53,13.48
all_other,327.53,2.61
debt_consolidation,179.31,12.12
all_other,667.06,13.5
debt_consolidation,720.57,17.39
debt_consolidation,405.72,17.82
all_other,313.37,2.1
credit_card,409.73,8.86
all_other,157.22,2.34
debt_consolidation,633.71,10.01
all_other,782.44,0.57
educational,589.56,6.15
all_other,353.71,5.88
debt_consolidation,206.35,9.21
credit_card,251.88,8.63
debt_consolidation,301.56,7.15
credit_card,464.05,21.28
debt_consolidation,230.47,0.8
all_other,895.56,18.8
debt_consolidation,670.13,14.51
debt_consolidation,269.25,4.08
debt_consolidation,377.79,23.31
all_other,30.55,22.38
debt_consolidation,389.41,0
debt_consolidation,405.72,11.96
debt_consolidation,477.61,20.45
educational,329,8.79
debt_consolidation,377.82,1.63
all_other,338.1,10.9
major_purchase,407.52,17.07
debt_consolidation,273.86,16.47
all_other,807.62,0
debt_consolidation,398.4,14.08
debt_consolidation,320.1,5.28
debt_consolidation,316.28,5.91
all_other,387.66,21.2
all_other,162.26,14.82
credit_card,493.5,10.49
debt_consolidation,640.38,18.93
debt_consolidation,180.94,12.12
major_purchase,296.1,1.2
all_other,115.69,12.38
all_other,230.3,9.92
all_other,405.72,14.4
credit_card,305.47,4.8
all_other,93.14,1.55
all_other,109.68,0.62
debt_consolidation,37.61,2.43
all_other,129.22,19.43
debt_consolidation,290.75,5.17
all_other,203.76,23.37
credit_card,160.05,5.97
credit_card,407.52,14.99
educational,320.1,9.38
all_other,129.81,6.04
debt_consolidation,366.89,11.6
all_other,658,5.19
debt_consolidation,480.15,6.46
all_other,803.87,4.92
all_other,272.59,19.61
debt_consolidation,249,10.94
credit_card,400.24,8.81
all_other,253.03,10.78
credit_card,129.81,13.09
debt_consolidation,448.14,5.31
major_purchase,118.44,13.51
all_other,811.27,7.25
all_other,407.52,8.32
credit_card,250.7,8.55
debt_consolidation,444.6,20.66
all_other,489.03,6.9
debt_consolidation,373.56,22.75
credit_card,195.61,9.22
debt_consolidation,314,18.78
credit_card,109.17,2.52
debt_consolidation,516.32,24.61
educational,241.16,10.56
all_other,221.4,12.23
credit_card,294.78,12.72
debt_consolidation,680.69,19.36
credit_card,228.22,21.48
debt_consolidation,87.75,5.48
all_other,324.51,14.82
debt_consolidation,97.53,16.08
debt_consolidation,208.65,6.11
debt_consolidation,691.55,23.45
debt_consolidation,323.05,2.65
credit_card,236.14,2.81
credit_card,213.83,15.63
debt_consolidation,537.15,4.42
home_improvement,194.71,21.78
all_other,235.03,5.22
debt_consolidation,707.41,9.81
home_improvement,128.04,13.16
debt_consolidation,670.13,13.4
credit_card,697.2,7.99
all_other,480.15,6.47
all_other,98.7,7.72
debt_consolidation,525.17,20.44
all_other,187.14,0.83
credit_card,314,18.23
debt_consolidation,324.51,12.88
debt_consolidation,257.24,17
debt_consolidation,314.85,14.54
debt_consolidation,235.83,21.83
home_improvement,803.87,8.91
debt_consolidation,526.4,9.37
debt_consolidation,292.06,14.64
debt_consolidation,540.96,11.73
credit_card,100.06,13.28
debt_consolidation,848.99,14.26
debt_consolidation,298.8,18.76
debt_consolidation,482.32,3.17
debt_consolidation,168.28,21.04
all_other,807.62,1.73
debt_consolidation,811.27,13.28
debt_consolidation,253.58,24.89
debt_consolidation,118.34,23.05
credit_card,584.12,12.27
educational,52.41,15.84
debt_consolidation,151.03,18.72
educational,188.91,11.75
all_other,167.21,1.52
educational,251.88,17.6
major_purchase,161.53,21.77
all_other,807.74,7.06
credit_card,837.67,24.04
all_other,269.25,1.39
all_other,578.79,8.86
all_other,93.57,0.79
all_other,166,20.68
all_other,329,12.05
credit_card,201.44,17.1
credit_card,646.1,6.86
all_other,385.86,8.65
debt_consolidation,232.64,12.81
credit_card,330.53,8.13
debt_consolidation,201.94,15.32
debt_consolidation,603.13,13.33
debt_consolidation,389.41,15.99
major_purchase,250.7,2.24
debt_consolidation,691.55,14.69
all_other,37.79,3.42
credit_card,194.71,13.88
debt_consolidation,321.55,8.11
all_other,640.2,3.98
major_purchase,187.14,9.52
home_improvement,202.86,23.09
credit_card,142.33,4.24
educational,338.1,7.31
debt_consolidation,528.84,13.47
credit_card,266.83,5.36
all_other,155.95,11.97
credit_card,845.25,7.84
debt_consolidation,230.3,9.81
debt_consolidation,263.2,8.75
debt_consolidation,391.22,18.59
all_other,314.85,6.25
debt_consolidation,462.74,8.42
all_other,100.97,20.84
debt_consolidation,550.74,22.27
credit_card,446.29,21.06
debt_consolidation,500.3,19.39
debt_consolidation,50.03,4.18
debt_consolidation,176.86,21.92
credit_card,96.47,2.1
debt_consolidation,370.19,17.78
all_other,206.83,12.86
credit_card,296.1,11.68
debt_consolidation,818.83,9.38
credit_card,318.34,1.8
home_improvement,125.94,0
credit_card,450.17,11.31
debt_consolidation,23.35,12.38
debt_consolidation,178.49,15.92
debt_consolidation,116.2,21.97
debt_consolidation,247.9,19.22
debt_consolidation,269.25,19.89
credit_card,262.03,14.8
all_other,141.66,15.07
debt_consolidation,568.81,14.62
debt_consolidation,223.15,22
debt_consolidation,243.38,14.85
credit_card,224.14,9.66
all_other,235.83,14.4
credit_card,428.32,24.55
debt_consolidation,659.61,14.23
debt_consolidation,192.62,19.7
home_improvement,155.95,11.49
debt_consolidation,213.85,20.82
credit_card,482.32,14.33
major_purchase,587.14,4.51
all_other,202.42,10.55
credit_card,160.78,4.45
all_other,265.41,15.62
debt_consolidation,339.06,15.6
credit_card,274.72,14.56
debt_consolidation,198.32,18.53
major_purchase,183.42,0.6
credit_card,640.24,22.74
debt_consolidation,132.84,2.09
debt_consolidation,260.62,6.65
credit_card,109.56,17.4
credit_card,240.46,16.91
debt_consolidation,339.6,10.14
all_other,306.9,3.36
debt_consolidation,388.91,24.48
debt_consolidation,513.98,21.49
credit_card,389.41,18.75
credit_card,22.51,3.6
credit_card,315.78,2.74
debt_consolidation,430.27,21.72
all_other,16.08,22.17
debt_consolidation,175.01,14.24
debt_consolidation,268.5,3.07
major_purchase,188.02,0.13
home_improvement,204.19,13.79
debt_consolidation,324.51,10.59
debt_consolidation,287.79,7.6
major_purchase,155.37,13.5
debt_consolidation,144.7,4.24
debt_consolidation,402.08,10.12
debt_consolidation,324.51,7.12
credit_card,234.74,18.75
debt_consolidation,292.16,8.14
debt_consolidation,166,13.03
educational,492.76,20.39
all_other,31.19,1.8
educational,117.37,15.01
debt_consolidation,166,22.73
all_other,318.72,13
debt_consolidation,151.13,18.38
all_other,198.32,7.07
debt_consolidation,239.04,22.28
debt_consolidation,170.22,17.69
all_other,313.37,2.24
debt_consolidation,83.68,17.77
credit_card,96.47,17.65
home_improvement,149.4,15.49
home_improvement,165.27,3.53
credit_card,135.29,14.59
all_other,249.68,16.53
credit_card,203.76,18.74
credit_card,108.09,1.37
credit_card,129.22,8.08
all_other,163.01,9.58
debt_consolidation,128.3,1.25
debt_consolidation,184.97,9.57
debt_consolidation,323.05,21.57
debt_consolidation,134.03,22.83
all_other,93.39,25.43
debt_consolidation,161.53,12.71
debt_consolidation,220.39,9.58
all_other,161.53,11.73
all_other,229.28,0.38
credit_card,199.36,16.8
debt_consolidation,78.61,13.82
major_purchase,220.43,23.14
home_improvement,350.39,13.56
credit_card,147.39,24.97
debt_consolidation,387.17,19.96
debt_consolidation,286.9,13.08
credit_card,243.38,10.64
debt_consolidation,219.36,15.81
debt_consolidation,259.61,14.42
all_other,506.05,1.16
debt_consolidation,97.81,16.83
debt_consolidation,307.93,7.46
debt_consolidation,170.58,29.15
home_improvement,178.48,18.46
home_improvement,272.09,3.12
major_purchase,99.81,12.29
debt_consolidation,252.42,18.81
debt_consolidation,168.28,9.41
credit_card,296.1,5.44
debt_consolidation,206.76,8.11
debt_consolidation,310.13,19.72
debt_consolidation,128.42,21.78
credit_card,147.39,11.03
debt_consolidation,327.5,18.62
all_other,131.6,11.04
debt_consolidation,289.14,20.59
debt_consolidation,213.46,20.78
credit_card,185.1,21.52
debt_consolidation,245.65,11.14
all_other,160.78,13.53
all_other,188.02,5.38
all_other,163.01,12.48
credit_card,118.44,14.47
credit_card,118.55,24.51
all_other,98.26,14.56
debt_consolidation,207.69,14.79
debt_consolidation,128.04,17.63
all_other,62.1,0
debt_consolidation,154.82,20.33
credit_card,122.3,19.58
credit_card,342.66,20.77
debt_consolidation,210.56,16.98
major_purchase,237.21,14.6
debt_consolidation,136.95,6.6
all_other,177.68,5.53
credit_card,101.64,20.53
debt_consolidation,189.77,4.55
debt_consolidation,219.36,16.04
home_improvement,156.69,5.7
all_other,175.49,0.95
all_other,293.42,11.69
all_other,138.92,5.33
debt_consolidation,70.55,14.95
all_other,70.51,12.55
debt_consolidation,76.36,24.94
all_other,134.6,1.77
credit_card,163.01,20.28
all_other,31.05,12.9
debt_consolidation,171.22,14.79
credit_card,180.95,17.15
all_other,163.77,10.94
credit_card,166.77,14.96
all_other,112.82,5.46
all_other,163.68,18.52
